Number,Order of Magnitude,Time
623563364274003,14,6.187008
476690612145083,14,5.722112
110218656053567,14,4.830208
828250934492803,14,6.26688
865620418683061,14,6.358016
134080105643353,14,4.938752
962317859334677,14,6.48192
644951341307721,14,6.921216
430796883986171,14,5.788672
743188644138711,14,6.147072
650954335922127,14,6.900736
202488888666307,14,5.855232
181161563658541,14,5.05344
180103343297001,14,5.054464
891065962801573,14,7.24992
490375491910607,14,6.050816
186387728491139,14,5.072896
273430682801663,14,5.298176
798802554860333,14,6.230016
759898163766343,14,6.172672
207660054478777,14,5.568512
807461682296549,14,6.24128
287563411535879,14,6.230016
617022566323671,14,5.952512
246344090761747,14,5.951488
543801751919929,14,6.767616
691217886269951,14,6.079488
967360482905249,14,6.453248
818363293340371,14,7.133184
224573865310407,14,5.1712
883488449103603,14,7.267328
190172144107559,14,5.394432
659926087930857,14,6.049792
593451157071433,14,5.94432
214762657996131,14,5.153792
574038520124593,14,6.813696
764586159129973,14,6.177792
508763209760117,14,6.66112
824780319923639,14,7.037952
549564542743637,14,5.94432
742167277018753,14,7.084032
942603674667621,14,6.417408
400756244642449,14,6.46144
253446456424321,14,5.51936
768760005848993,14,6.185984
243832231990603,14,5.244928
851018257674377,14,6.73792
730913615493019,14,7.092224
534399364292069,14,5.818368
375435065657729,14,5.522432
747454109335211,14,6.883328
499195055758769,14,5.755904
466222194362917,14,5.700608
583681752836611,14,5.897216
597178636660621,14,5.92896
666051900822017,14,6.793216
976357431923207,14,6.46144
508449592064671,14,6.6816
376508450567117,14,5.527552
477662328757611,14,6.634496
834108402694831,14,7.240704
373870939357403,14,5.77536
590323886603893,14,5.90848
672670430519253,14,6.944768
542797974536713,14,5.834752
740403135210287,14,6.144448
280032773163583,14,5.312512
790920416701867,14,6.213632
494116310993153,14,6.621184
441190100611941,14,5.664768
281306575237133,14,5.316608
401795709677441,14,5.574656
280810281236747,14,5.317632
277521541945093,14,5.30432
919570199843017,14,7.327744
891300898779229,14,6.924288
475594424046203,14,5.711872
496490780887633,14,5.758976
120743602575599,14,4.855808
237756820186509,14,5.243904
181097192110429,14,6.048768
385380638781641,14,5.583872
496198272295277,14,6.634496
959930800518887,14,7.360512
878609985867771,14,6.335488
102939819750353,14,5.67296
869925304603489,14,7.256064
487296777650677,14,5.735424
218772091031817,14,5.156864
695466402112997,14,6.816768
896262902601359,14,6.354944
846006125836909,14,6.293504
106146968957973,14,4.80256
